
[Onsemi AR0147 regdump]
REG= 0x0002, 0x0000
REG= 0x0004, 0xB359
REG= 0x0006, 0xB359
REG= 0x0008, 0xB359
REG= 0x1000, 0x0001
REG= 0x1004, 0x0001
REG= 0x1006, 0x0001
REG= 0x100A, 0x0000
REG= 0x1010, 0x0115
REG= 0x1080, 0x0001
REG= 0x1084, 0x0001
REG= 0x1086, 0x07FF
REG= 0x1088, 0x0001
REG= 0x1108, 0x0001
REG= 0x110A, 0x0040
REG= 0x1114, 0x0020
REG= 0x1116, 0x0180
REG= 0x1120, 0x0001
REG= 0x1122, 0x0010
REG= 0x1134, 0x0004
REG= 0x1136, 0x0010
REG= 0x1140, 0x0049
REG= 0x1142, 0xFFFF
REG= 0x1144, 0x0860
REG= 0x1146, 0x7FFE
REG= 0x1148, 0x00A4
REG= 0x114A, 0x0047
REG= 0x1180, 0x0000
REG= 0x1182, 0x0000
REG= 0x1184, 0x0547
REG= 0x1186, 0x03C7
REG= 0x11C0, 0x0001
REG= 0x11C2, 0x0001
REG= 0x11C4, 0x0001
REG= 0x11C6, 0x0005
REG= 0x1200, 0x0002
REG= 0x2000, 0x0000
REG= 0x2002, 0x5276
REG= 0x2004, 0x0000
REG= 0x2006, 0x0008
REG= 0x2008, 0x000C
REG= 0x200A, 0x0000
REG= 0x200C, 0x0000
REG= 0x200E, 0x8060
REG= 0x2010, 0x8000
REG= 0x2012, 0x0000
REG= 0x2014, 0x0000
REG= 0x2016, 0x0000
REG= 0x2018, 0x0000
REG= 0x2020, 0x0452
REG= 0x2022, 0x0000
REG= 0x2024, 0x0000
REG= 0x2026, 0x0000
REG= 0x2028, 0x0017
REG= 0x202A, 0x8FC2
REG= 0x202C, 0x0000
REG= 0x202E, 0x0000
REG= 0x2030, 0x0000
REG= 0x2032, 0x0000
REG= 0x2034, 0x0000
REG= 0x2036, 0x0000
REG= 0x2038, 0x060E
REG= 0x203A, 0x0000
REG= 0x203C, 0x0000
REG= 0x203E, 0x0000
REG= 0x2040, 0x0020
REG= 0x2042, 0x0020
REG= 0x2044, 0x0020
REG= 0x2046, 0x0400
REG= 0x2048, 0x0000
REG= 0x204A, 0x0020
REG= 0x204C, 0x0000
REG= 0x204E, 0x0020
REG= 0x2050, 0x0020
REG= 0x2054, 0x0000
REG= 0x2056, 0x0020
REG= 0x2058, 0x0000
REG= 0x205A, 0x0020
REG= 0x205C, 0x0C0C
REG= 0x205E, 0xC000
REG= 0x2060, 0x0000
REG= 0x2062, 0x0000
REG= 0x2064, 0x0000
REG= 0x2066, 0x0000
REG= 0x2068, 0x0000
REG= 0x206A, 0x0000
REG= 0x206C, 0x0000
REG= 0x206E, 0x0000
REG= 0x2070, 0x0000
REG= 0x2072, 0x0000
REG= 0x2074, 0x0000
REG= 0x2080, 0x0000
REG= 0x2082, 0x0000
REG= 0x2084, 0x0000
REG= 0x2086, 0x0000
REG= 0x2088, 0x0000
REG= 0x208A, 0x0000
REG= 0x208C, 0x0000
REG= 0x208E, 0x0000
REG= 0x2090, 0x0000
REG= 0x2092, 0x0000
REG= 0x2094, 0x0000
REG= 0x2096, 0x0000
REG= 0x2098, 0x0000
REG= 0x209A, 0x0000
REG= 0x20B0, 0x0177
REG= 0x20B4, 0x0000
REG= 0x20B6, 0x0000
REG= 0x20B8, 0x0000
REG= 0x20BA, 0x0000
REG= 0x20BC, 0x0000
REG= 0x20BE, 0x0000
REG= 0x20C0, 0x0000
REG= 0x20C2, 0x0000
REG= 0x20C4, 0x0000
REG= 0x20C6, 0x0000
REG= 0x20C8, 0x0000
REG= 0x20CA, 0x0000
REG= 0x20CC, 0x0000
REG= 0x20CE, 0x0000
REG= 0x20D0, 0x0000
REG= 0x20D2, 0x0000
REG= 0x20D4, 0x0000
REG= 0x20D6, 0x0000
REG= 0x20D8, 0x0000
REG= 0x20DA, 0x0000
REG= 0x20DC, 0x0000
REG= 0x20DE, 0x0000
REG= 0x20E0, 0x0000
REG= 0x20E2, 0x0000
REG= 0x20E4, 0x0000
REG= 0x20E6, 0x0000
REG= 0x20E8, 0x0000
REG= 0x20EA, 0x0000
