
[ISP CONFIG DUMP]
CONF= 0x0, 0x01
CONF= 0x1, 0x01
CONF= 0x2, 0x07
CONF= 0x3, 0x0A
CONF= 0x4, 0x03
CONF= 0x5, 0x01
CONF= 0x6, 0x39
CONF= 0x7, 0x04
CONF= 0x8, 0x04
CONF= 0x9, 0x01
CONF= 0xA, 0x1A
CONF= 0xB, 0x00
CONF= 0xC, 0x07
CONF= 0xD, 0x00
CONF= 0xE, 0x40
CONF= 0xF, 0x05
CONF= 0x10, 0x00
CONF= 0x11, 0x00
CONF= 0x12, 0x00
CONF= 0x13, 0x00
CONF= 0x14, 0xE8
CONF= 0x15, 0x0A
CONF= 0x16, 0xC8
CONF= 0x17, 0x03
CONF= 0x18, 0x00
CONF= 0x19, 0x00
CONF= 0x1A, 0x00
CONF= 0x1B, 0x00
CONF= 0x1C, 0xA8
CONF= 0x1D, 0x04
CONF= 0x1E, 0x01
CONF= 0x1F, 0x86
CONF= 0x20, 0xB1
CONF= 0x21, 0x00
CONF= 0x22, 0x00
CONF= 0x23, 0x00
CONF= 0x24, 0x00
CONF= 0x25, 0x00
CONF= 0x26, 0x00
CONF= 0x27, 0x00
CONF= 0x28, 0x00
CONF= 0x29, 0x00
CONF= 0x2A, 0x00
CONF= 0x2B, 0x00
CONF= 0x2C, 0x00
CONF= 0x2D, 0x00
CONF= 0x2E, 0x00
CONF= 0x2F, 0x00
CONF= 0x30, 0x00
CONF= 0x31, 0x00
CONF= 0x32, 0x00
CONF= 0x33, 0x00
CONF= 0x34, 0x00
CONF= 0x35, 0x00
CONF= 0x36, 0x00
CONF= 0x37, 0x00
CONF= 0x38, 0x00
CONF= 0x39, 0x00
CONF= 0x3A, 0x00
CONF= 0x3B, 0x00
CONF= 0x3C, 0x00
CONF= 0x3D, 0x00
CONF= 0x3E, 0x00
CONF= 0x3F, 0x00
CONF= 0x40, 0x00
CONF= 0x41, 0x00
CONF= 0x42, 0x00
CONF= 0x43, 0x00
CONF= 0x44, 0x00
CONF= 0x45, 0x00
CONF= 0x46, 0x00
CONF= 0x47, 0x00
CONF= 0x48, 0x00
CONF= 0x49, 0x00
CONF= 0x4A, 0x00
CONF= 0x4B, 0x00
CONF= 0x4C, 0x00
CONF= 0x4D, 0x00
CONF= 0x4E, 0x00
CONF= 0x4F, 0x00
CONF= 0x50, 0x00
CONF= 0x51, 0x00
CONF= 0x52, 0x00
CONF= 0x53, 0x00
CONF= 0x54, 0x00
CONF= 0x55, 0x00
CONF= 0x56, 0x02
CONF= 0x57, 0x78
CONF= 0x58, 0x00
CONF= 0x59, 0x02
CONF= 0x5A, 0x00
CONF= 0x5B, 0x00
CONF= 0x5C, 0x00
CONF= 0x5D, 0x00
CONF= 0x5E, 0x00
CONF= 0x5F, 0x01
CONF= 0x60, 0x00
CONF= 0x61, 0x00
CONF= 0x62, 0x27
CONF= 0x63, 0x00
CONF= 0x64, 0x00
CONF= 0x65, 0x00
CONF= 0x66, 0x00
CONF= 0x67, 0x00
CONF= 0x68, 0x00
CONF= 0x69, 0x00
CONF= 0x6A, 0x00
CONF= 0x6B, 0x00
CONF= 0x6C, 0x00
CONF= 0x6D, 0x00
CONF= 0x6E, 0x00
CONF= 0x6F, 0x00
CONF= 0x70, 0x00
CONF= 0x71, 0x00
CONF= 0x72, 0x00
CONF= 0x73, 0x00
CONF= 0x74, 0x00
CONF= 0x75, 0x00
CONF= 0x76, 0x00
CONF= 0x77, 0x00
CONF= 0x78, 0x00
CONF= 0x79, 0x00
CONF= 0x7A, 0x00
CONF= 0x7B, 0x00
CONF= 0x7C, 0x00
CONF= 0x7D, 0x00
CONF= 0x7E, 0x00
CONF= 0x7F, 0x00
CONF= 0x80, 0x00
CONF= 0x81, 0x00
CONF= 0x82, 0x00
CONF= 0x83, 0x00
CONF= 0x84, 0x00
CONF= 0x85, 0x00
CONF= 0x86, 0x00
CONF= 0x87, 0x00
CONF= 0x88, 0x00
CONF= 0x89, 0x00
CONF= 0x8A, 0x00
CONF= 0x8B, 0x00
CONF= 0x8C, 0x00
CONF= 0x8D, 0x00
CONF= 0x8E, 0x00
CONF= 0x8F, 0x00
CONF= 0x90, 0x00
CONF= 0x91, 0x00
CONF= 0x92, 0x00
CONF= 0x93, 0x00
CONF= 0x94, 0x00
CONF= 0x95, 0x3F
CONF= 0x96, 0xE6
CONF= 0x97, 0x66
CONF= 0x98, 0x66
CONF= 0x99, 0x00
CONF= 0x9A, 0x00
CONF= 0x9B, 0x00
CONF= 0x9C, 0x00
CONF= 0x9D, 0x00
CONF= 0x9E, 0x00
